# X Y texture solid layer

# House 1
2 11 grass_1 0 1
3 11 grass_2 0 1
4 11 grass_1 0 1
5 11 grass_2 0 1
6 11 grass_1 0 1
7 11 grass_2 0 1
8 11 grass_1 0 1
9 11 grass_2 0 1
10 11 grass_1 0 1
11 11 grass_2 0 1
12 11 grass_1 0 1
13 11 grass_2 0 1
14 11 grass_1 0 1
15 11 grass_2 0 1
16 11 grass_1 0 1
17 11 grass_2 0 1
18 11 grass_1 0 1
19 11 grass_2 0 1
20 11 grass_1 0 1
21 11 grass_2 0 1
22 11 grass_1 0 1
23 11 grass_2 0 1
24 11 dirt_1 0 1
0 12 dirt_1 0 1
1 12 grass_2 0 1
2 12 grass_1 0 1
3 12 grass_2 0 1
4 12 grass_1 0 1
5 12 grass_2 0 1
6 12 grass_1 0 1
7 12 grass_2 0 1
8 12 grass_1 0 1
9 12 grass_2 0 1
10 12 grass_1 0 1
11 12 grass_2 0 1
12 12 grass_1 0 1
13 12 grass_2 0 1
14 12 grass_1 0 1
15 12 grass_2 0 1
16 12 grass_1 0 1
17 12 grass_2 0 1
18 12 grass_1 0 1
19 12 grass_2 0 1
20 12 grass_1 0 1
21 12 grass_2 0 1
22 12 grass_1 0 1
23 12 grass_2 0 1
24 12 dirt_1 0 1
0 13 dirt_2 0 1
1 13 grass_2 0 1
2 13 grass_1 0 1
3 13 grass_2 0 1
4 13 grass_1 0 1
5 13 grass_2 0 1
6 13 grass_1 0 1
7 13 grass_2 0 1
8 13 grass_1 0 1
9 13 grass_2 0 1
10 13 grass_1 0 1
11 13 grass_2 0 1
12 13 grass_1 0 1
13 13 grass_2 0 1
14 13 grass_1 0 1
15 13 grass_2 0 1
16 13 grass_1 0 1
17 13 grass_2 0 1
18 13 grass_1 0 1
19 13 grass_2 0 1
20 13 grass_1 0 1
21 13 grass_2 0 1
22 13 grass_1 0 1
23 13 grass_2 0 1
24 13 dirt_1 0 1
0 14 dirt_2 0 1
1 14 grass_2 0 1
2 14 grass_1 0 1
3 14 grass_2 0 1
4 14 grass_1 0 1
5 14 grass_2 0 1
6 14 grass_1 0 1
7 14 grass_2 0 1
8 14 grass_1 0 1
9 14 grass_2 0 1
10 14 grass_1 0 1
11 14 grass_2 0 1
12 14 grass_1 0 1
13 14 grass_2 0 1
14 14 grass_1 0 1
15 14 grass_2 0 1
16 14 grass_1 0 1
17 14 grass_2 0 1
18 14 grass_1 0 1
19 14 grass_2 0 1
20 14 grass_1 0 1
21 14 grass_2 0 1
22 14 grass_1 0 1
23 14 grass_2 0 1
24 14 dirt_1 0 1
0 15 dirt_2 0 1
1 15 grass_2 0 1
2 15 grass_1 0 1
3 15 grass_2 0 1
4 15 grass_1 0 1
5 15 grass_2 0 1
6 15 grass_1 0 1
7 15 grass_2 0 1
8 15 grass_1 0 1
9 15 grass_2 0 1
10 15 grass_1 0 1
11 15 grass_2 0 1
12 15 grass_1 0 1
13 15 grass_2 0 1
14 15 grass_1 0 1
15 15 grass_2 0 1
16 15 grass_1 0 1
17 15 grass_2 0 1
18 15 grass_1 0 1
19 15 grass_2 0 1
20 15 grass_1 0 1
21 15 grass_2 0 1
22 15 grass_1 0 1
23 15 grass_2 0 1
24 15 dirt_1 0 1
0 16 dirt_1 0 1
1 16 grass_2 0 1
2 16 grass_1 0 1
3 16 grass_2 0 1
4 16 grass_1 0 1
5 16 grass_2 0 1
6 16 grass_1 0 1
7 16 grass_2 0 1
8 16 grass_1 0 1
9 16 grass_2 0 1
10 16 grass_1 0 1
11 16 grass_2 0 1
12 16 grass_1 0 1
13 16 grass_2 0 1
14 16 grass_1 0 1
15 16 grass_2 0 1
16 16 grass_1 0 1
17 16 grass_2 0 1
18 16 grass_1 0 1
19 16 grass_2 0 1
20 16 grass_1 0 1
21 16 grass_2 0 1
22 16 grass_1 0 1
23 16 grass_2 0 1
24 16 dirt_1 0 1
0 17 dirt_2 0 1
1 17 grass_2 0 1
2 17 grass_1 0 1
3 17 grass_2 0 1
4 17 grass_1 0 1
5 17 grass_2 0 1
6 17 grass_1 0 1
7 17 grass_2 0 1
8 17 grass_1 0 1
9 17 grass_2 0 1
10 17 grass_1 0 1
11 17 grass_2 0 1
12 17 grass_1 0 1
13 17 grass_2 0 1
14 17 grass_1 0 1
15 17 grass_2 0 1
16 17 grass_1 0 1
17 17 grass_2 0 1
18 17 grass_1 0 1
19 17 grass_2 0 1
20 17 grass_1 0 1
21 17 grass_2 0 1
22 17 grass_1 0 1
23 17 grass_2 0 1
24 17 dirt_1 0 1
0 18 dirt_2 0 1
1 18 grass_2 0 1
2 18 grass_1 0 1
3 18 grass_2 0 1
4 18 grass_1 0 1
5 18 grass_2 0 1
6 18 grass_1 0 1
7 18 grass_2 0 1
8 18 grass_1 0 1
9 18 grass_2 0 1
10 18 grass_1 0 1
11 18 grass_2 0 1
12 18 grass_1 0 1
13 18 grass_2 0 1
14 18 grass_1 0 1
15 18 grass_2 0 1
16 18 grass_1 0 1
17 18 grass_2 0 1
18 18 grass_1 0 1
19 18 grass_2 0 1
20 18 grass_1 0 1
21 18 grass_2 0 1
22 18 grass_1 0 1
23 18 grass_2 0 1
24 18 dirt_1 0 1
0 19 dirt_1 1 1
1 19 dirt_2 1 1
2 19 dirt_1 1 1
3 19 dirt_2 1 1
4 19 dirt_1 1 1
5 19 dirt_2 1 1
6 19 dirt_1 1 1
7 19 dirt_2 1 1
8 19 dirt_1 1 1
9 19 dirt_2 1 1
10 19 dirt_1 1 1
11 19 dirt_2 1 1
12 19 dirt_1 1 1
13 19 dirt_2 1 1
14 19 dirt_1 1 1
15 19 dirt_2 1 1
16 19 dirt_1 1 1
17 19 dirt_2 1 1
18 19 dirt_1 1 1
19 19 dirt_2 1 1
20 19 dirt_1 1 1
21 19 dirt_2 1 1
22 19 dirt_1 1 1
23 19 dirt_2 1 1
24 19 dirt_2 1 1

# Add tree
1 1 tree_green_pic_top 1 2
1 2 tree_green_pic_bottom 1 2
